ADJECTIVE,POS FREQ,NEG FREQ,TomDS
contemporain,0.75,0.25,
apaisant,1,0,
écossais,0,0,
taciturne,0.5,0.5,
scientifique,0.23,0.77,
monté,1,0,
insouciant,0,0,
gothique,0,1,
extravagant,0,0,
dédaigneux,0,0,
coquet,0,0,
stupéfiant,0,0,
répété,0,0,
retroussé,0,0,
publicitaire,0.14,0.86,
prolongé,1,0,
pittoresque,0,0,
orphelin,0,0,
originel,0,0,
légal,0,0,
hypocrite,0,1,
flatteur,0,0,
désastreux,0,0,
criard,0,0,
assourdissant,0,0,
ébloui,0,0,
normand,0,0,
imperturbable,0,0,
haineux,0,0,
forestier,0,0,
cynique,1,0,
costaud,0,0,
campagnard,0,0,
vénérable,0,0,
précaire,0,0,
prestigieux,0.5,0.5,
narquois,0,0,
métaphysique,0,0,
limité,0,0,
indigné,0,1,
indicible,1,0,
dégagé,0,0,
vexé,0,0,
obsédant,0,0,
méticuleux,1,0,
inséparable,0,0,
infect,0,0,
infaillible,0,0,
immonde,0,0,
frénétique,0,0,
consultatif,0,0,
cocher,0,0,
ballant,0,0,
acquis,0,0,
surnaturel,1,0,
supportable,0,0,
spectaculaire,0,0,
soupçonneux,0,0,
rustique,0,0,
poignant,1,0,
méconnaissable,0,0,
moelleux,0,0,
menacé,1,0,
maritime,1,0,
jovial,0,0,
ignorant,0,1,
forain,1,0,
automobile,1,0,
argent,0.5,0.5,
étendu,0,0,
élastique,0,0,
regardant,0,1,
raffiné,0,0,
pervers,0,1,
mutilé,0,0,
insaisissable,0.33,0.67,
goguenard,0,0,
expert,1,0,
coutumier,0,0,
charnu,0,0,
boche,0,0,
aveuglant,1,0,
aride,0,0,
voilé,1,0,
unanime,0,0,
songeur,0,0,
réconfortant,0,0,
rougeâtre,0,0,
rectiligne,0,0,
pensant,0.25,0.75,
partagé,0,0,
noirâtre,0,0,
gamin,0.33,0.67,
encombrant,1,0,
dévoué,0,0,
courbé,0,0,
